Date,"Open Price","Close Price","High Price","Low Price",Volume
20/12/2013,6584.7,6606.58,6616.8,6576.79,1058939264
23/12/2013,6606.58,6678.61,6678.61,6606.2,349687328
24/12/2013,6678.61,6694.17,6712.1,6672.22,101282232
27/12/2013,6694.17,6750.87,6754.11,6694.17,289989952
30/12/2013,6750.87,6731.27,6768.44,6718.16,293762432
31/12/2013,6731.27,6749.09,6756.98,6731.25,153321584
02/01/2014,6749.09,6717.91,6759.37,6707.48,459191136
03/01/2014,6717.91,6730.67,6747.33,6699.27,373271072
06/01/2014,6730.67,6730.73,6751.98,6714.64,523001344
07/01/2014,6730.73,6755.45,6768.89,6718.07,668479744
08/01/2014,6755.45,6721.78,6755.53,6713.39,686850496
09/01/2014,6721.78,6691.34,6746.41,6679.31,778522048
10/01/2014,6691.34,6739.94,6769.94,6691.34,804286528
13/01/2014,6739.94,6757.15,6765.6,6730.97,601283520
14/01/2014,6757.15,6766.86,6772.63,6694.08,555282688
15/01/2014,6766.86,6819.86,6825.2,6766.86,700581504
16/01/2014,6819.86,6815.42,6831.74,6811.16,703550784
17/01/2014,6815.42,6829.3,6840.5,6800,928629632
20/01/2014,6829.3,6836.73,6837.53,6810.62,422920384
21/01/2014,6836.73,6834.26,6867.42,6822.31,592643904
22/01/2014,6834.26,6826.33,6864.87,6821.8,543110848
23/01/2014,6826.33,6773.28,6837.21,6760.63,665652032
24/01/2014,6773.28,6663.74,6784.42,6654.86,838442048
27/01/2014,6663.74,6550.66,6665.39,6539.33,980262336
28/01/2014,6550.66,6572.33,6590.66,6550.65,664868992
29/01/2014,6572.33,6544.28,6645.23,6482.74,978211904
30/01/2014,6544.28,6538.45,6573.92,6503.25,720148480
31/01/2014,6538.45,6510.44,6548.46,6421.26,751294720
03/02/2014,6510.44,6465.66,6538.3,6459.95,778824320
04/02/2014,6465.66,6449.27,6478.16,6416.72,920201472
05/02/2014,6449.27,6457.89,6483.73,6423.79,769486592
06/02/2014,6457.89,6558.28,6566.01,6457.89,806434560
07/02/2014,6558.28,6571.68,6596.28,6540.81,704101504
10/02/2014,6571.68,6591.55,6597,6565.3,591752640
11/02/2014,6591.55,6672.66,6672.66,6591.55,924690432
12/02/2014,6672.66,6675.03,6708.17,6669.06,777053568
13/02/2014,6675.03,6659.42,6675.24,6608.09,1106337408
14/02/2014,6659.42,6663.62,6672.21,6646.47,807944256
17/02/2014,6663.62,6736,6745.63,6661.47,621072512
18/02/2014,6736,6796.43,6802.89,6716.64,821656448
19/02/2014,6796.43,6796.71,6810.48,6759.86,727430208
20/02/2014,6796.71,6812.99,6812.99,6732.03,740171200
21/02/2014,6812.99,6838.06,6859.91,6812.99,1009441536
24/02/2014,6838.06,6865.86,6865.86,6797.83,1047177344
25/02/2014,6865.86,6830.5,6866.35,6790.93,1133211392
26/02/2014,6830.5,6799.15,6834.09,6785.28,715177152
27/02/2014,6799.15,6810.27,6819.24,6733.54,833052736
28/02/2014,6810.27,6809.7,6833.82,6785.54,898398464
03/03/2014,6809.7,6708.35,6809.7,6671.89,823082816
04/03/2014,6708.35,6823.77,6827.22,6708.35,722100416
05/03/2014,6823.77,6775.42,6824.16,6771.5,620369344
06/03/2014,6775.42,6788.49,6806.62,6770.95,649008192
07/03/2014,6788.49,6712.67,6800.66,6706.38,789976000
10/03/2014,6712.67,6689.45,6757,6671.62,816725120
11/03/2014,6689.45,6685.52,6718.3,6660.59,864613696
12/03/2014,6685.52,6620.9,6685.52,6598.36,820675648
13/03/2014,6620.9,6553.78,6631.38,6552.46,881932928
14/03/2014,6553.78,6527.89,6553.78,6500.37,844621568
17/03/2014,6527.89,6568.35,6592.37,6527.87,688564544
18/03/2014,6568.35,6605.28,6628.2,6534.86,698312832
19/03/2014,6605.28,6573.13,6609.46,6566.85,972762944
20/03/2014,6573.13,6542.44,6573.13,6492.62,792455488
21/03/2014,6542.44,6557.17,6572.09,6537.89,1475632128
24/03/2014,6557.17,6520.39,6568.96,6506.42,747379264
25/03/2014,6520.39,6604.89,6604.89,6520.39,668563584
26/03/2014,6604.89,6605.3,6643.58,6601.78,1417704064
27/03/2014,6605.3,6588.32,6605.3,6561.39,846046208
28/03/2014,6588.32,6615.58,6631.48,6585.73,998639488
31/03/2014,6615.58,6598.37,6658.4,6583.09,862896640
01/04/2014,6598.37,6652.61,6660.27,6598.37,841738304
02/04/2014,6652.61,6659.04,6672.73,6639.63,962188672
03/04/2014,6659.04,6649.14,6680.78,6638.52,659185856
04/04/2014,6649.14,6695.55,6706.34,6649.14,861428864
07/04/2014,6695.55,6622.84,6695.55,6614.73,659008128
08/04/2014,6622.84,6590.69,6625.19,6549.75,1048744896
09/04/2014,6590.69,6635.61,6654.05,6590.41,679116160
10/04/2014,6635.61,6641.97,6688.28,6620.39,660370240
11/04/2014,6641.97,6561.7,6641.97,6538.75,813454464
14/04/2014,6561.7,6583.76,6583.76,6507.08,866919616
15/04/2014,6583.76,6541.61,6594.24,6534.2,787551744
16/04/2014,6541.61,6584.17,6596.99,6541.61,677028608
17/04/2014,6584.17,6625.25,6627.25,6559.35,748384064
22/04/2014,6625.25,6681.76,6706.19,6625.25,717854272
23/04/2014,6681.76,6674.74,6694.82,6661.42,628391360
24/04/2014,6674.74,6703,6724.58,6667.65,613793344
25/04/2014,6703,6685.69,6704.37,6657.3,558843072
28/04/2014,6685.69,6700.16,6720.33,6682.9,583114176
29/04/2014,6700.16,6769.91,6769.91,6700.1,658686720
30/04/2014,6769.91,6780.03,6794.88,6748.76,763879488
01/05/2014,6780.03,6808.87,6811.64,6773.69,635269440
02/05/2014,6808.87,6822.42,6838.17,6798.61,728494528
06/05/2014,6822.42,6798.56,6828.62,6785.32,727923712
07/05/2014,6798.56,6796.44,6799.34,6766.84,725687104
08/05/2014,6796.44,6839.25,6840.37,6796.44,811839552
09/05/2014,6839.25,6814.57,6839.42,6805.39,606466880
12/05/2014,6814.57,6851.75,6851.75,6814.57,557412480
13/05/2014,6851.75,6873.08,6877.39,6845.95,620644992
14/05/2014,6873.08,6878.49,6880.07,6854.02,523756224
15/05/2014,6878.49,6840.89,6894.88,6821.66,890326144
16/05/2014,6840.89,6855.81,6855.94,6813.5,976323840
19/05/2014,6855.81,6844.55,6862.2,6804.31,673120768
20/05/2014,6844.55,6802,6848.36,6792.51,677865728
21/05/2014,6802,6821.04,6821.04,6782.8,669813440
22/05/2014,6821.04,6820.56,6846.57,6810.19,542271168
